datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2025-01-01 01:00:00+00:00,long,buy,94363.6,0.0,999.5,-0.05,-0.05
2025-01-01 08:27:00+00:00,long,sell - stop_loss,94363.6,93419.964,989.01,-1.05,-1.1
2025-01-01 18:00:00+00:00,long,buy,94123.6,0.0,988.51,-0.05,-1.15
2025-01-02 13:12:00+00:00,long,sell - take_profit,94123.6,96947.308,1017.67,2.95,1.8
2025-01-02 15:00:00+00:00,long,buy,97216.7,0.0,1017.16,-0.05,1.75
2025-01-02 15:35:00+00:00,long,sell - stop_loss,97216.7,96244.533,1006.48,-1.05,0.7
2025-01-02 17:00:00+00:00,long,buy,97195.5,0.0,1005.98,-0.05,0.65
2025-01-03 07:00:00+00:00,long,sell - direction_change,97195.5,96504.7,998.33,-0.76,-0.11
2025-01-03 07:00:00+00:00,short,buy,96504.7,0.0,997.83,-0.05,-0.16
2025-01-03 08:00:00+00:00,short,sell - direction_change,96504.7,96275.1,999.7,0.19,0.03
2025-01-03 08:00:00+00:00,long,buy,96275.1,0.0,999.2,-0.05,-0.02
2025-01-04 07:00:00+00:00,long,sell - direction_change,96275.1,98089.9,1017.54,1.84,1.81
2025-01-04 07:00:00+00:00,short,buy,98089.9,0.0,1017.03,-0.05,1.76
2025-01-06 02:05:00+00:00,short,sell - stop_loss,98089.9,99070.799,1006.35,-1.05,0.71
2025-01-06 09:00:00+00:00,short,buy,99001.2,0.0,1005.85,-0.05,0.66
2025-01-06 13:00:00+00:00,short,sell - direction_change,99001.2,99119.7,1004.14,-0.17,0.49
2025-01-06 13:00:00+00:00,long,buy,99119.7,0.0,1003.64,-0.05,0.44
2025-01-06 15:45:00+00:00,long,sell - take_profit,99119.7,102093.291,1033.25,2.95,3.39
2025-01-07 18:00:00+00:00,long,buy,97250.8,0.0,1032.73,-0.05,3.34
2025-01-07 20:03:00+00:00,long,sell - stop_loss,97250.8,96278.292,1021.89,-1.05,2.29
2025-01-07 21:00:00+00:00,long,buy,96504.7,0.0,1021.37,-0.05,2.24
2025-01-08 06:50:00+00:00,long,sell - stop_loss,96504.7,95539.65299999999,1010.65,-1.05,1.19
2025-01-08 07:00:00+00:00,long,buy,95267.8,0.0,1010.14,-0.05,1.14
2025-01-08 17:03:00+00:00,long,sell - stop_loss,95267.8,94315.122,999.54,-1.05,0.09
2025-01-08 18:00:00+00:00,long,buy,93974.8,0.0,999.04,-0.05,0.04
2025-01-09 00:00:00+00:00,long,sell - direction_change,93974.8,95014.0,1009.59,1.06,1.1
2025-01-09 00:00:00+00:00,short,buy,95014.0,0.0,1009.08,-0.05,1.05
2025-01-09 13:00:00+00:00,short,sell - direction_change,95014.0,93378.9,1025.94,1.67,2.72
2025-01-09 13:00:00+00:00,long,buy,93378.9,0.0,1025.43,-0.05,2.67
2025-01-09 13:37:00+00:00,long,sell - stop_loss,93378.9,92445.11099999999,1014.66,-1.05,1.62
2025-01-09 15:00:00+00:00,short,buy,92811.0,0.0,1014.16,-0.05,1.57
