datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2025-01-01 00:00:00+00:00,short,buy,93548.8,0.0,999.5,-0.05,-0.05
2025-01-01 04:00:00+00:00,short,sell - direction_change,93548.8,93810.0,996.21,-0.33,-0.38
2025-01-01 04:00:00+00:00,long,buy,93810.0,0.0,995.71,-0.05,-0.43
2025-01-01 09:26:00+00:00,long,sell - stop_loss,93810.0,92871.9,985.26,-1.05,-1.48
2025-01-01 17:00:00+00:00,long,buy,94070.1,0.0,984.76,-0.05,-1.53
2025-01-01 21:00:00+00:00,long,sell - direction_change,94070.1,94767.3,991.57,0.69,-0.84
2025-01-01 21:00:00+00:00,short,buy,94767.3,0.0,991.07,-0.05,-0.89
2025-01-02 03:00:00+00:00,short,sell - direction_change,94767.3,95222.8,985.82,-0.53,-1.42
2025-01-02 03:00:00+00:00,long,buy,95222.8,0.0,985.32,-0.05,-1.47
2025-01-02 12:00:00+00:00,long,sell - direction_change,95222.8,96715.4,1000.27,1.52,0.05
2025-01-02 12:00:00+00:00,short,buy,96715.4,0.0,999.77,-0.05,-0.0
2025-01-02 13:00:00+00:00,short,sell - direction_change,96715.4,96830.0,998.09,-0.17,-0.17
2025-01-02 13:00:00+00:00,long,buy,96830.0,0.0,997.59,-0.05,-0.22
2025-01-02 14:00:00+00:00,long,sell - direction_change,96830.0,96426.0,992.93,-0.47,-0.69
2025-01-02 14:00:00+00:00,short,buy,96426.0,0.0,992.43,-0.05,-0.74
2025-01-02 14:32:00+00:00,short,sell - stop_loss,96426.0,97390.26,982.01,-1.05,-1.79
2025-01-02 15:00:00+00:00,long,buy,97216.7,0.0,981.52,-0.05,-1.84
2025-01-02 15:35:00+00:00,long,sell - stop_loss,97216.7,96244.533,971.22,-1.05,-2.89
2025-01-02 16:00:00+00:00,short,buy,96428.5,0.0,970.73,-0.05,-2.94
2025-01-02 16:34:00+00:00,short,sell - stop_loss,96428.5,97392.785,960.54,-1.05,-3.99
2025-01-02 17:00:00+00:00,long,buy,97195.5,0.0,960.06,-0.05,-4.04
2025-01-02 21:00:00+00:00,long,sell - direction_change,97195.5,97265.9,960.27,0.02,-4.01
2025-01-02 21:00:00+00:00,short,buy,97265.9,0.0,959.79,-0.05,-4.06
2025-01-03 10:00:00+00:00,short,sell - direction_change,97265.9,96511.8,966.75,0.73,-3.34
2025-01-03 10:00:00+00:00,long,buy,96511.8,0.0,966.27,-0.05,-3.39
2025-01-03 12:00:00+00:00,long,sell - direction_change,96511.8,96710.4,967.78,0.16,-3.23
2025-01-03 12:00:00+00:00,short,buy,96710.4,0.0,967.29,-0.05,-3.28
2025-01-03 13:00:00+00:00,short,sell - direction_change,96710.4,96615.3,967.76,0.05,-3.24
2025-01-03 13:00:00+00:00,long,buy,96615.3,0.0,967.28,-0.05,-3.29
2025-01-03 16:00:00+00:00,long,sell - direction_change,96615.3,97479.6,975.44,0.84,-2.44
2025-01-03 16:00:00+00:00,short,buy,97479.6,0.0,974.96,-0.05,-2.49
2025-01-03 18:00:00+00:00,short,sell - direction_change,97479.6,97986.8,969.4,-0.57,-3.06
2025-01-03 18:00:00+00:00,long,buy,97986.8,0.0,968.91,-0.05,-3.11
2025-01-03 19:00:00+00:00,long,sell - direction_change,97986.8,98483.7,973.34,0.46,-2.65
2025-01-03 19:00:00+00:00,short,buy,98483.7,0.0,972.85,-0.05,-2.7
2025-01-04 01:00:00+00:00,short,sell - direction_change,98483.7,97912.1,978.01,0.53,-2.17
2025-01-04 01:00:00+00:00,long,buy,97912.1,0.0,977.53,-0.05,-2.22
2025-01-04 03:00:00+00:00,long,sell - direction_change,97912.1,98267.5,980.58,0.31,-1.91
2025-01-04 03:00:00+00:00,short,buy,98267.5,0.0,980.09,-0.05,-1.96
2025-01-05 18:00:00+00:00,short,sell - direction_change,98267.5,97695.1,985.31,0.53,-1.43
2025-01-05 18:00:00+00:00,long,buy,97695.1,0.0,984.82,-0.05,-1.48
2025-01-05 23:00:00+00:00,long,sell - direction_change,97695.1,98661.1,994.07,0.94,-0.54
2025-01-05 23:00:00+00:00,short,buy,98661.1,0.0,993.57,-0.05,-0.59
2025-01-06 00:00:00+00:00,short,sell - direction_change,98661.1,98340.2,996.3,0.28,-0.31
2025-01-06 00:00:00+00:00,long,buy,98340.2,0.0,995.81,-0.05,-0.36
2025-01-06 15:15:00+00:00,long,sell - take_profit,98340.2,101290.406,1025.18,2.95,2.59
2025-01-06 17:00:00+00:00,short,buy,102116.5,0.0,1024.67,-0.05,2.54
2025-01-07 08:00:00+00:00,short,sell - direction_change,102116.5,101649.3,1028.85,0.41,2.94
2025-01-07 08:00:00+00:00,long,buy,101649.3,0.0,1028.33,-0.05,2.89
2025-01-07 09:00:00+00:00,long,sell - direction_change,101649.3,101862.1,1029.97,0.16,3.05
2025-01-07 09:00:00+00:00,short,buy,101862.1,0.0,1029.45,-0.05,3.0
2025-01-07 11:00:00+00:00,short,sell - direction_change,101862.1,101366.8,1033.95,0.44,3.44
