datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2024-01-01 23:00:00,short,buy,43579.6,,999.5,-0.05,-0.05
2024-01-01 23:27:00,short,sell - stop_loss,43579.6,44015.396,989.01,-1.05,-1.1
2024-01-02 00:00:00,short,buy,44235.5,,988.51,-0.05,-1.15
2024-01-02 00:13:00,short,sell - stop_loss,44235.5,44677.855,978.13,-1.05,-2.2
2024-01-02 01:00:00,short,buy,45187.9,,977.64,-0.05,-2.25
2024-01-02 07:25:00,short,sell - stop_loss,45187.9,45639.779,967.38,-1.05,-3.3
2024-01-02 08:00:00,short,buy,45500.0,,966.89,-0.05,-3.35
2024-01-03 11:00:00,short,sell - direction_change,45500.0,45186.0,973.08,0.64,-2.71
2024-01-03 11:00:00,long,buy,45186.0,,972.6,-0.05,-2.76
2024-01-03 11:14:00,long,sell - stop_loss,45186.0,44734.14,962.38,-1.05,-3.81
2024-01-03 12:00:00,long,buy,43736.2,,961.9,-0.05,-3.86
2024-01-03 12:01:00,long,sell - stop_loss,43736.2,43298.837999999996,951.8,-1.05,-4.91
2024-01-03 13:00:00,long,buy,42797.1,,951.33,-0.05,-4.96
2024-01-03 13:22:00,long,sell - stop_loss,42797.1,42369.129,941.34,-1.05,-6.01
2024-01-03 14:00:00,long,buy,42559.5,,940.87,-0.05,-6.06
2024-01-03 14:16:00,long,sell - stop_loss,42559.5,42133.905,930.99,-1.05,-7.11
2024-01-03 15:00:00,long,buy,42205.9,,930.52,-0.05,-7.16
2024-01-03 16:02:00,long,sell - take_profit,42205.9,43472.077000000005,957.97,2.95,-4.21
2024-01-03 17:00:00,long,buy,43031.9,,957.49,-0.05,-4.26
2024-01-03 17:16:00,long,sell - stop_loss,43031.9,42601.581,947.44,-1.05,-5.31
2024-01-03 18:00:00,long,buy,42929.2,,946.97,-0.05,-5.36
2024-01-03 18:56:00,long,sell - stop_loss,42929.2,42499.907999999996,937.02,-1.05,-6.41
2024-01-03 19:00:00,long,buy,42280.3,,936.55,-0.05,-6.46
2024-01-04 14:00:00,long,sell - direction_change,42280.3,43375.7,960.35,2.54,-3.92
2024-01-04 14:00:00,short,buy,43375.7,,959.87,-0.05,-3.97
2024-01-04 15:01:00,short,sell - stop_loss,43375.7,43809.456999999995,949.79,-1.05,-5.02
2024-01-04 16:00:00,short,buy,44089.9,,949.32,-0.05,-5.07
2024-01-04 20:38:00,short,sell - stop_loss,44089.9,44530.799,939.35,-1.05,-6.12
2024-01-04 21:00:00,short,buy,44137.8,,938.88,-0.05,-6.17
2024-01-04 21:01:00,short,sell - stop_loss,44137.8,44579.178,929.02,-1.05,-7.22
2024-01-04 22:00:00,short,buy,44456.0,,928.56,-0.05,-7.27
2024-01-05 01:48:00,short,sell - take_profit,44456.0,43122.32,955.95,2.95,-4.32
2024-01-05 02:00:00,short,buy,43389.5,,955.47,-0.05,-4.37
2024-01-05 02:00:00,short,sell - stop_loss,43389.5,43823.395,945.44,-1.05,-5.42
2024-01-05 03:00:00,short,buy,43512.1,,944.97,-0.05,-5.47
