datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2024-01-01 23:00:00,short,buy,43579.6,0.0,999.5,-0.05,-0.05
2024-01-01 23:27:00,short,sell - stop_loss,43579.6,44040.0,988.44,-1.11,-1.16
2024-01-02 00:00:00,short,buy,44235.5,0.0,987.95,-0.05,-1.21
2024-01-02 00:13:00,short,sell - stop_loss,44235.5,44716.0,976.72,-1.14,-2.34
2024-01-02 01:00:00,short,buy,45187.9,0.0,976.23,-0.05,-2.39
2024-01-02 07:25:00,short,sell - stop_loss,45187.9,45792.8,962.68,-1.39,-3.78
2024-01-02 08:00:00,short,buy,45500.0,0.0,962.2,-0.05,-3.83
2024-01-03 11:00:00,long,sell - direction change,45500.0,45186.0,968.35,0.64,-3.19
2024-01-03 11:00:00,long,buy,45186.0,0.0,967.87,-0.05,-3.24
2024-01-03 11:14:00,long,sell - take_profit,45186.0,44727.0,977.22,0.97,-2.28
2024-01-03 12:00:00,long,buy,43736.2,0.0,976.73,-0.05,-2.33
2024-01-03 12:01:00,long,sell - stop_loss,43736.2,41965.0,936.69,-4.1,-6.43
2024-01-03 13:00:00,long,buy,42797.1,0.0,936.22,-0.05,-6.48
2024-01-03 13:22:00,long,sell - stop_loss,42797.1,42316.1,925.23,-1.17,-7.65
2024-01-03 14:00:00,long,buy,42559.5,0.0,924.76,-0.05,-7.7
2024-01-03 14:16:00,long,sell - stop_loss,42559.5,42101.0,914.34,-1.13,-8.83
2024-01-03 15:00:00,long,buy,42205.9,0.0,913.88,-0.05,-8.88
2024-01-03 16:02:00,long,sell - take_profit,42205.9,43615.5,943.95,3.29,-5.59
2024-01-03 17:00:00,long,buy,43031.9,0.0,943.48,-0.05,-5.64
2024-01-03 17:16:00,long,sell - stop_loss,43031.9,42512.0,931.61,-1.26,-6.89
2024-01-03 18:00:00,long,buy,42929.2,0.0,931.14,-0.05,-6.94
2024-01-03 18:56:00,long,sell - stop_loss,42929.2,41728.4,904.63,-2.85,-9.79
2024-01-03 19:00:00,long,buy,42280.3,0.0,904.18,-0.05,-9.84
2024-01-04 14:00:00,short,sell - direction change,42280.3,43375.7,927.15,2.54,-7.3
2024-01-04 14:00:00,short,buy,43375.7,0.0,926.69,-0.05,-7.35
2024-01-04 15:01:00,short,sell - stop_loss,43375.7,43847.4,916.14,-1.14,-8.49
2024-01-04 16:00:00,short,buy,44089.9,0.0,915.69,-0.05,-8.54
2024-01-04 20:38:00,short,sell - stop_loss,44089.9,44875.5,898.91,-1.83,-10.37
2024-01-04 21:00:00,short,buy,44137.8,0.0,898.46,-0.05,-10.42
