datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2024-01-01 01:01:00,0.0,buy,42498.1,0.0,957.5,-21.25,-21.25
2024-01-01 01:02:00,0.0,sell - take_profit,42498.1,42495.1,939.25,-18.25,-39.5
2024-01-01 02:01:00,0.0,buy,42658.9,0.0,896.6,-21.33,-60.83
2024-01-01 02:02:00,0.0,sell - take_profit,42658.9,42655.9,878.27,-18.33,-79.16
2024-01-01 03:01:00,0.0,buy,42627.8,0.0,835.64,-21.31,-100.47
2024-01-01 03:02:00,0.0,sell - take_profit,42627.8,42624.8,817.33,-18.31,-118.78
2024-01-01 04:01:00,0.0,buy,42382.3,0.0,774.94,-21.19,-139.97
2024-01-01 04:02:00,0.0,sell - stop_loss,42382.3,42383.3,752.75,-22.19,-162.16
2024-01-01 05:01:00,0.0,buy,42446.2,0.0,710.31,-21.22,-183.38
2024-01-01 05:02:00,0.0,sell - take_profit,42446.2,42443.2,692.09,-18.22,-201.6
2024-01-01 06:01:00,0.0,buy,42264.1,0.0,649.82,-21.13,-222.73
2024-01-01 06:02:00,0.0,sell - take_profit,42264.1,42261.1,631.69,-18.13,-240.86
2024-01-01 07:01:00,0.0,buy,42461.6,0.0,589.23,-21.23,-262.09
2024-01-01 07:02:00,0.0,sell - stop_loss,42461.6,42462.6,567.0,-22.23,-284.32
2024-01-01 08:01:00,0.0,buy,42533.0,0.0,524.46,-21.27,-305.59
2024-01-01 08:02:00,0.0,sell - take_profit,42533.0,42530.0,506.2,-18.26,-323.85
2024-01-01 09:01:00,0.0,buy,42599.8,0.0,463.6,-21.3,-345.15
2024-01-01 09:02:00,0.0,sell - stop_loss,42599.8,42600.8,441.3,-22.3,-367.45
2024-01-01 10:01:00,0.0,buy,42701.3,0.0,398.6,-21.35,-388.8
2024-01-01 10:02:00,0.0,sell - stop_loss,42701.3,42702.3,376.25,-22.35,-411.15
2024-01-01 11:01:00,0.0,buy,42747.2,0.0,333.5,-21.37,-432.52
2024-01-01 11:02:00,0.0,sell - stop_loss,42747.2,42748.2,311.13,-22.37,-454.89
2024-01-01 12:01:00,0.0,buy,42754.6,0.0,268.37,-21.38,-476.27
2024-01-01 12:02:00,0.0,sell - stop_loss,42754.6,42755.6,245.99,-22.38,-498.65
2024-01-01 13:01:00,0.0,buy,42711.9,0.0,203.28,-21.36,-520.01
2024-01-01 13:02:00,0.0,sell - take_profit,42711.9,42708.9,184.93,-18.35,-538.36
2024-01-01 14:01:00,0.0,buy,42726.3,0.0,142.2,-21.36,-559.72
2024-01-01 14:02:00,0.0,sell - take_profit,42726.3,42723.3,123.84,-18.36,-578.08
2024-01-01 15:01:00,0.0,buy,42652.9,0.0,81.19,-21.33,-599.41
2024-01-01 15:02:00,0.0,sell - take_profit,42652.9,42649.9,62.86,-18.32,-617.73
2024-01-01 16:01:00,0.0,buy,42849.9,0.0,20.01,-21.42,-639.15
2024-01-01 16:02:00,0.0,sell - take_profit,42849.9,42846.9,1.59,-18.42,-657.57
2024-01-01 17:01:00,0.0,buy,42795.0,0.0,-41.21,-21.4,-678.97
2024-01-01 17:02:00,0.0,sell - take_profit,42795.0,42792.0,-59.6,-18.4,-697.37
2024-01-01 18:01:00,0.0,buy,42885.7,0.0,-102.49,-21.44,-718.81
2024-01-01 18:02:00,0.0,sell - stop_loss,42885.7,42886.7,-124.93,-22.44,-741.25
2024-01-01 19:01:00,0.0,buy,43192.7,0.0,-168.12,-21.6,-762.85
2024-01-01 19:02:00,0.0,sell - take_profit,43192.7,43189.7,-186.72,-18.59,-781.44
2024-01-01 20:01:00,0.0,buy,43663.8,0.0,-230.38,-21.83,-803.27
2024-01-01 20:02:00,0.0,sell - take_profit,43663.8,43660.8,-249.21,-18.83,-822.1
2024-01-01 21:01:00,0.0,buy,43787.5,0.0,-293.0,-21.89,-843.99
2024-01-01 21:02:00,0.0,sell - take_profit,43787.5,43784.5,-311.89,-18.89,-862.88
2024-01-01 22:01:00,0.0,buy,43710.0,0.0,-355.6,-21.86,-884.74
2024-01-01 22:02:00,0.0,sell - take_profit,43710.0,43707.0,-374.46,-18.85,-903.59
2024-01-01 23:01:00,-1.0,buy,43640.9,0.0,-418.1,-21.82,-925.41
2024-01-01 23:02:00,-1.0,sell - stop_loss,43640.9,43641.9,-440.92,-22.82,-948.23
2024-01-02 00:01:00,0.0,buy,44240.0,0.0,-485.16,-22.12,-970.35
2024-01-02 00:02:00,0.0,sell - take_profit,44240.0,44237.0,-504.28,-19.12,-989.47
2024-01-02 01:01:00,0.0,buy,45160.8,0.0,-549.44,-22.58,-1012.05
2024-01-02 01:02:00,0.0,sell - stop_loss,45160.8,45161.8,-573.02,-23.58,-1035.63
2024-01-02 02:01:00,0.0,buy,44954.1,0.0,-617.97,-22.48,-1058.11
2024-01-02 02:02:00,0.0,sell - take_profit,44954.1,44951.1,-637.45,-19.48,-1077.59
2024-01-02 03:01:00,0.0,buy,45353.9,0.0,-682.8,-22.68,-1100.27
2024-01-02 03:02:00,0.0,sell - take_profit,45353.9,45350.9,-702.48,-19.68,-1119.95
2024-01-02 04:01:00,0.0,buy,45426.5,0.0,-747.9,-22.71,-1142.66
2024-01-02 04:02:00,0.0,sell - take_profit,45426.5,45423.5,-767.62,-19.71,-1162.37
2024-01-02 05:01:00,0.0,buy,45191.3,0.0,-812.81,-22.6,-1184.97
2024-01-02 05:02:00,0.0,sell - take_profit,45191.3,45188.3,-832.4,-19.59,-1204.56
2024-01-02 06:01:00,0.0,buy,45208.0,0.0,-877.61,-22.6,-1227.16
2024-01-02 06:02:00,0.0,sell - take_profit,45208.0,45205.0,-897.21,-19.6,-1246.76
2024-01-02 07:01:00,0.0,buy,45235.4,0.0,-942.45,-22.62,-1269.38
2024-01-02 07:02:00,0.0,sell - take_profit,45235.4,45232.4,-962.06,-19.62,-1289.0
2024-01-02 08:01:00,0.0,buy,45537.8,0.0,-1007.6,-22.77,-1311.77
2024-01-02 08:02:00,0.0,sell - take_profit,45537.8,45534.8,-1027.37,-19.77,-1331.54
2024-01-02 09:01:00,0.0,buy,45825.6,0.0,-1073.19,-22.91,-1354.45
2024-01-02 09:02:00,0.0,sell - stop_loss,45825.6,45826.6,-1097.11,-23.91,-1378.36
2024-01-02 10:01:00,0.0,buy,45748.0,0.0,-1142.86,-22.87,-1401.23
2024-01-02 10:02:00,0.0,sell - take_profit,45748.0,45745.0,-1162.73,-19.87,-1421.1
2024-01-02 11:01:00,0.0,buy,45677.9,0.0,-1208.41,-22.84,-1443.94
