2026-02-10 17:37:32,809 | INFO | execution_binance_main | Strategy sig_1h_btc_1 → Highest window value among specified patterns: 30
2026-02-10 17:37:32,815 | INFO | execution_binance_main | Strategy sig_1h_btc_2 → Highest window value among specified patterns: 30
2026-02-11 09:59:49,409 | INFO | execution_binance_main | Strategy sig_1h_btc_1 → ALL columns:
2026-02-11 09:59:49,410 | INFO | execution_binance_main |     strategy: sig_1h_btc_1
2026-02-11 09:59:49,410 | INFO | execution_binance_main |     tp: 3
2026-02-11 09:59:49,410 | INFO | execution_binance_main |     sl: 1
2026-02-11 09:59:49,411 | INFO | execution_binance_main |     symbol: btc
2026-02-11 09:59:49,411 | INFO | execution_binance_main |     timehorizon: 1h
2026-02-11 09:59:49,414 | INFO | execution_binance_main |     pnl_sum: 2563.91
2026-02-11 09:59:49,414 | INFO | execution_binance_main |     ema: True
2026-02-11 09:59:49,414 | INFO | execution_binance_main |     midpoint: True
2026-02-11 09:59:49,415 | INFO | execution_binance_main |     midprice: True
2026-02-11 09:59:49,415 | INFO | execution_binance_main |     sar: True
2026-02-11 09:59:49,415 | INFO | execution_binance_main |     sarext: True
2026-02-11 09:59:49,415 | INFO | execution_binance_main |     trima: True
2026-02-11 09:59:49,417 | INFO | execution_binance_main |     wma: True
2026-02-11 09:59:49,417 | INFO | execution_binance_main |     aroonosc: True
2026-02-11 09:59:49,418 | INFO | execution_binance_main |     bop: True
2026-02-11 09:59:49,418 | INFO | execution_binance_main |     cci: True
2026-02-11 09:59:49,419 | INFO | execution_binance_main |     minus_dm: True
2026-02-11 09:59:49,419 | INFO | execution_binance_main |     plus_di: True
2026-02-11 09:59:49,421 | INFO | execution_binance_main |     plus_dm: True
2026-02-11 09:59:49,421 | INFO | execution_binance_main |     ppo: True
2026-02-11 09:59:49,422 | INFO | execution_binance_main |     roc: True
2026-02-11 09:59:49,422 | INFO | execution_binance_main |     stochf: True
2026-02-11 09:59:49,424 | INFO | execution_binance_main |     trix: True
2026-02-11 09:59:49,425 | INFO | execution_binance_main |     willr: True
2026-02-11 09:59:49,426 | INFO | execution_binance_main |     adosc: True
2026-02-11 09:59:49,426 | INFO | execution_binance_main |     trange: True
2026-02-11 09:59:49,427 | INFO | execution_binance_main |     avgprice: True
2026-02-11 09:59:49,427 | INFO | execution_binance_main |     medprice: True
2026-02-11 09:59:49,428 | INFO | execution_binance_main |     typprice: True
2026-02-11 09:59:49,428 | INFO | execution_binance_main |     ht_dcperiod: True
2026-02-11 09:59:49,429 | INFO | execution_binance_main |     ht_phasor: True
2026-02-11 09:59:49,430 | INFO | execution_binance_main |     ht_trendmode: True
2026-02-11 09:59:49,430 | INFO | execution_binance_main |     linearreg_slope: True
2026-02-11 09:59:49,431 | INFO | execution_binance_main |     stddev: True
2026-02-11 09:59:49,431 | INFO | execution_binance_main |     tsf: True
2026-02-11 09:59:49,432 | INFO | execution_binance_main |     var: True
2026-02-11 09:59:49,432 | INFO | execution_binance_main |     cdl3linestrike: True
2026-02-11 09:59:49,432 | INFO | execution_binance_main |     cdl3starsinsouth: True
2026-02-11 09:59:49,433 | INFO | execution_binance_main |     cdl3whitesoldiers: True
2026-02-11 09:59:49,433 | INFO | execution_binance_main |     cdladvanceblock: True
2026-02-11 09:59:49,434 | INFO | execution_binance_main |     cdlbreakaway: True
2026-02-11 09:59:49,434 | INFO | execution_binance_main |     cdlcounterattack: True
2026-02-11 09:59:49,436 | INFO | execution_binance_main |     cdldarkcloudcover: True
2026-02-11 09:59:49,437 | INFO | execution_binance_main |     cdldojistar: True
2026-02-11 09:59:49,438 | INFO | execution_binance_main |     cdleveningdojistar: True
2026-02-11 09:59:49,439 | INFO | execution_binance_main |     cdlgapsidesidewhite: True
2026-02-11 09:59:49,440 | INFO | execution_binance_main |     cdlgravestonedoji: True
2026-02-11 09:59:49,441 | INFO | execution_binance_main |     cdlhangingman: True
2026-02-11 09:59:49,441 | INFO | execution_binance_main |     cdlharami: True
2026-02-11 09:59:49,441 | INFO | execution_binance_main |     cdlhighwave: True
2026-02-11 09:59:49,442 | INFO | execution_binance_main |     cdlhikkake: True
2026-02-11 09:59:49,442 | INFO | execution_binance_main |     cdlhikkakemod: True
2026-02-11 09:59:49,443 | INFO | execution_binance_main |     cdlidentical3crows: True
2026-02-11 09:59:49,443 | INFO | execution_binance_main |     cdlinneck: True
2026-02-11 09:59:49,443 | INFO | execution_binance_main |     cdlkickingbylength: True
