2026-01-20 13:53:12,922 | INFO | kraken_main | Processing symbol: btc
2026-01-20 13:53:13,347 | INFO | kraken_main | No existing data found for btc. Using start_date=2026-01-06
2026-01-20 13:53:14,492 | WARNING | kraken_main | No data fetched for btc. Skipping.
2026-01-20 13:53:14,493 | INFO | kraken_main | Processing symbol: eth
2026-01-20 13:53:14,495 | INFO | kraken_main | No existing data found for eth. Using start_date=2026-01-06
2026-01-20 13:53:15,257 | WARNING | kraken_main | No data fetched for eth. Skipping.
2026-01-20 13:53:15,257 | INFO | kraken_main | Processing symbol: bnb
2026-01-20 13:53:15,264 | INFO | kraken_main | No existing data found for bnb. Using start_date=2026-01-06
2026-01-20 13:53:16,019 | WARNING | kraken_main | No data fetched for bnb. Skipping.
2026-01-20 13:53:16,019 | INFO | kraken_main | Processing symbol: ada
2026-01-20 13:53:16,022 | INFO | kraken_main | No existing data found for ada. Using start_date=2026-01-06
2026-01-20 13:53:17,322 | WARNING | kraken_main | No data fetched for ada. Skipping.
2026-01-20 13:53:17,322 | INFO | kraken_main | Processing symbol: xrp
2026-01-20 13:53:17,325 | INFO | kraken_main | No existing data found for xrp. Using start_date=2026-01-06
2026-01-20 13:53:18,641 | WARNING | kraken_main | No data fetched for xrp. Skipping.
2026-01-20 13:53:18,642 | INFO | kraken_main | Processing symbol: doge
2026-01-20 13:53:18,644 | INFO | kraken_main | No existing data found for doge. Using start_date=2026-01-06
2026-01-20 13:53:19,412 | WARNING | kraken_main | No data fetched for doge. Skipping.
2026-01-20 13:53:19,412 | INFO | kraken_main | Processing symbol: sol
2026-01-20 13:53:19,416 | INFO | kraken_main | No existing data found for sol. Using start_date=2026-01-06
2026-01-20 13:53:20,153 | WARNING | kraken_main | No data fetched for sol. Skipping.
2026-01-20 13:53:20,153 | INFO | kraken_main | Processing symbol: dot
2026-01-20 13:53:20,156 | INFO | kraken_main | No existing data found for dot. Using start_date=2026-01-06
2026-01-20 13:53:20,920 | WARNING | kraken_main | No data fetched for dot. Skipping.
2026-01-20 13:53:20,920 | INFO | kraken_main | Processing symbol: matic
2026-01-20 13:53:20,923 | INFO | kraken_main | No existing data found for matic. Using start_date=2026-01-06
2026-01-20 13:53:22,224 | WARNING | kraken_main | No data fetched for matic. Skipping.
2026-01-20 13:53:22,224 | INFO | kraken_main | Processing symbol: link
2026-01-20 13:53:22,227 | INFO | kraken_main | No existing data found for link. Using start_date=2026-01-06
2026-01-20 13:53:23,062 | WARNING | kraken_main | No data fetched for link. Skipping.
2026-01-20 13:53:23,062 | INFO | kraken_main | Kraken futures data ingestion pipeline completed successfully.
2026-01-20 13:55:39,177 | INFO | kraken_main | Processing symbol: btc
2026-01-20 13:55:39,485 | INFO | kraken_main | No existing data found for btc. Using start_date=2026-01-06
2026-01-20 13:55:40,397 | WARNING | kraken_main | No data fetched for btc. Skipping.
2026-01-20 13:55:40,398 | INFO | kraken_main | Processing symbol: eth
2026-01-20 13:55:40,400 | INFO | kraken_main | No existing data found for eth. Using start_date=2026-01-06
2026-01-20 13:55:41,370 | WARNING | kraken_main | No data fetched for eth. Skipping.
2026-01-20 13:55:41,371 | INFO | kraken_main | Processing symbol: bnb
2026-01-20 13:55:41,374 | INFO | kraken_main | No existing data found for bnb. Using start_date=2026-01-06
2026-01-20 13:55:42,546 | WARNING | kraken_main | No data fetched for bnb. Skipping.
2026-01-20 13:55:42,546 | INFO | kraken_main | Processing symbol: ada
2026-01-20 13:55:42,549 | INFO | kraken_main | No existing data found for ada. Using start_date=2026-01-06
2026-01-20 13:55:43,462 | WARNING | kraken_main | No data fetched for ada. Skipping.
2026-01-20 13:55:43,462 | INFO | kraken_main | Processing symbol: xrp
2026-01-20 13:55:43,465 | INFO | kraken_main | No existing data found for xrp. Using start_date=2026-01-06
2026-01-20 13:55:44,352 | WARNING | kraken_main | No data fetched for xrp. Skipping.
2026-01-20 13:55:44,353 | INFO | kraken_main | Processing symbol: doge
2026-01-20 13:55:44,356 | INFO | kraken_main | No existing data found for doge. Using start_date=2026-01-06
2026-01-20 13:55:45,187 | WARNING | kraken_main | No data fetched for doge. Skipping.
2026-01-20 13:55:45,188 | INFO | kraken_main | Processing symbol: sol
2026-01-20 13:55:45,190 | INFO | kraken_main | No existing data found for sol. Using start_date=2026-01-06
2026-01-20 13:55:46,222 | WARNING | kraken_main | No data fetched for sol. Skipping.
2026-01-20 13:55:46,222 | INFO | kraken_main | Processing symbol: dot
2026-01-20 13:55:46,226 | INFO | kraken_main | No existing data found for dot. Using start_date=2026-01-06
2026-01-20 13:55:47,001 | WARNING | kraken_main | No data fetched for dot. Skipping.
2026-01-20 13:55:47,002 | INFO | kraken_main | Processing symbol: matic
2026-01-20 13:55:47,005 | INFO | kraken_main | No existing data found for matic. Using start_date=2026-01-06
2026-01-20 13:55:47,819 | WARNING | kraken_main | No data fetched for matic. Skipping.
2026-01-20 13:55:47,819 | INFO | kraken_main | Processing symbol: link
2026-01-20 13:55:47,822 | INFO | kraken_main | No existing data found for link. Using start_date=2026-01-06
2026-01-20 13:55:48,611 | WARNING | kraken_main | No data fetched for link. Skipping.
2026-01-20 13:59:01,391 | INFO | kraken_main | Processing symbol: btc
2026-01-20 13:59:01,645 | INFO | kraken_main | No existing data found for btc. Using start_date=2026-01-06
2026-01-20 13:59:03,163 | WARNING | kraken_main | No data fetched for btc. Skipping.
2026-01-20 13:59:03,163 | INFO | kraken_main | Processing symbol: eth
2026-01-20 13:59:03,169 | INFO | kraken_main | No existing data found for eth. Using start_date=2026-01-06
2026-01-20 13:59:05,023 | WARNING | kraken_main | No data fetched for eth. Skipping.
2026-01-20 13:59:05,023 | INFO | kraken_main | Processing symbol: bnb
2026-01-20 13:59:05,028 | INFO | kraken_main | No existing data found for bnb. Using start_date=2026-01-06
2026-01-20 13:59:05,822 | WARNING | kraken_main | No data fetched for bnb. Skipping.
2026-01-20 13:59:05,822 | INFO | kraken_main | Processing symbol: ada
2026-01-20 13:59:05,822 | INFO | kraken_main | No existing data found for ada. Using start_date=2026-01-06
2026-01-20 13:59:07,627 | WARNING | kraken_main | No data fetched for ada. Skipping.
2026-01-20 13:59:07,628 | INFO | kraken_main | Processing symbol: xrp
2026-01-20 13:59:07,628 | INFO | kraken_main | No existing data found for xrp. Using start_date=2026-01-06
2026-01-20 13:59:08,434 | WARNING | kraken_main | No data fetched for xrp. Skipping.
2026-01-20 13:59:08,434 | INFO | kraken_main | Processing symbol: doge
2026-01-20 13:59:08,434 | INFO | kraken_main | No existing data found for doge. Using start_date=2026-01-06
2026-01-20 13:59:09,809 | WARNING | kraken_main | No data fetched for doge. Skipping.
2026-01-20 13:59:09,809 | INFO | kraken_main | Processing symbol: sol
2026-01-20 13:59:09,809 | INFO | kraken_main | No existing data found for sol. Using start_date=2026-01-06
2026-01-20 13:59:10,658 | WARNING | kraken_main | No data fetched for sol. Skipping.
2026-01-20 13:59:10,658 | INFO | kraken_main | Processing symbol: dot
2026-01-20 13:59:10,658 | INFO | kraken_main | No existing data found for dot. Using start_date=2026-01-06
2026-01-20 13:59:11,611 | WARNING | kraken_main | No data fetched for dot. Skipping.
2026-01-20 13:59:11,611 | INFO | kraken_main | Processing symbol: matic
