2026-03-30 12:44:48,084 | INFO | lstm | [train] Starting LSTM Optuna study (10 trials)…
2026-03-30 15:29:57,264 | INFO | lstm | [train] Starting LSTM Optuna study (10 trials)…
2026-03-30 16:40:19,795 | INFO | lstm | [train] Starting LSTM Optuna study (10 trials)…
2026-03-30 17:33:05,064 | INFO | lstm | [train] Starting LSTM Optuna study (10 trials)…
2026-03-31 10:47:01,913 | INFO | lstm | [train] Starting LSTM Optuna study (10 trials)…
2026-03-31 11:55:44,161 | INFO | lstm | [train] Starting LSTM Optuna study (10 trials)…
2026-03-31 12:42:57,737 | INFO | lstm | [train] Starting LSTM Optuna study (10 trials)…
2026-03-31 13:34:56,056 | INFO | lstm | [train] Starting LSTM Optuna study (10 trials)…
2026-03-31 15:10:17,288 | INFO | lstm | [train] Starting LSTM Optuna study (10 trials)…
2026-03-31 16:43:28,674 | INFO | lstm | [train] Starting LSTM Optuna study (10 trials)…
2026-04-01 09:56:55,592 | INFO | lstm | [train] Starting LSTM Optuna study (10 trials)…
2026-04-01 11:44:30,498 | INFO | lstm | [train] Starting LSTM Optuna study (10 trials)…
2026-04-01 13:24:23,235 | INFO | lstm | [train] Starting LSTM Optuna study (10 trials)…
2026-04-01 14:20:02,505 | INFO | lstm | [train] Best params: {'seq_len': 35, 'hidden_size': 133, 'num_layers': 3, 'dropout': 0.4527596292132535, 'lr': 0.00385677044404607, 'batch_size': 64} | Best PnL: -28.9300
2026-04-01 14:22:08,431 | INFO | lstm | [train] Final preds — min: 0.0005, max: 0.0006, mean: 0.0005
2026-04-03 10:25:04,407 | INFO | lstm | [train] Starting LSTM Optuna study (2 trials)…
2026-04-03 12:04:18,466 | INFO | lstm | [train] Starting LSTM Optuna study (2 trials)…
2026-04-03 14:20:12,153 | INFO | lstm | [train] Starting LSTM Optuna study (2 trials)…
