2026-01-23 11:53:45,464 | INFO | metatrader5_fetcher | ✔ Enabled symbol: ADAUSD
2026-01-23 11:53:45,465 | WARNING | metatrader5_fetcher | ⚠ Symbol not found: AVAUSD
2026-01-23 11:53:45,465 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BCHUSD
2026-01-23 11:53:45,466 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BNBUSD
2026-01-23 11:53:45,466 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BTCUSD
2026-01-23 11:53:45,466 | INFO | metatrader5_fetcher | ✔ Enabled symbol: DOGEUSD
2026-01-23 11:53:45,467 | INFO | metatrader5_fetcher | ✔ Enabled symbol: DOTUSD
2026-01-23 11:53:45,468 | INFO | metatrader5_fetcher | ✔ Enabled symbol: EOSUSD
2026-01-23 11:53:45,469 | INFO | metatrader5_fetcher | ✔ Enabled symbol: ETHUSD
2026-01-23 11:53:45,469 | INFO | metatrader5_fetcher | ✔ Enabled symbol: LNKUSD
2026-01-23 11:53:45,469 | INFO | metatrader5_fetcher | ✔ Enabled symbol: LTCUSD
2026-01-23 11:53:45,470 | INFO | metatrader5_fetcher | ✔ Enabled symbol: MATICUSD
2026-01-23 11:53:45,471 | INFO | metatrader5_fetcher | ✔ Enabled symbol: NETH25
2026-01-23 11:53:45,472 | INFO | metatrader5_fetcher | ✔ Enabled symbol: SOLUSD
2026-01-23 11:53:45,472 | INFO | metatrader5_fetcher | ✔ Enabled symbol: XLMUSD
2026-01-23 11:54:08,839 | ERROR | metatrader5_fetcher | ❌ Symbol AVAUSD not found on MT5 server
2026-01-23 11:56:04,466 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-10 00:00:00 to 2026-01-11 00:00:00
2026-01-23 11:56:04,466 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-11 00:00:00 to 2026-01-12 00:00:00
2026-01-23 11:56:04,467 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-12 00:00:00 to 2026-01-13 00:00:00
2026-01-23 11:56:04,467 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-13 00:00:00 to 2026-01-14 00:00:00
2026-01-23 11:56:04,467 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-14 00:00:00 to 2026-01-15 00:00:00
2026-01-23 11:56:04,468 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-15 00:00:00 to 2026-01-16 00:00:00
2026-01-23 11:56:04,468 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-16 00:00:00 to 2026-01-17 00:00:00
2026-01-23 11:56:04,468 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-17 00:00:00 to 2026-01-18 00:00:00
2026-01-23 11:56:04,469 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-18 00:00:00 to 2026-01-19 00:00:00
2026-01-23 11:56:04,469 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-19 00:00:00 to 2026-01-20 00:00:00
2026-01-23 11:56:04,469 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-20 00:00:00 to 2026-01-21 00:00:00
2026-01-23 11:56:04,470 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-21 00:00:00 to 2026-01-22 00:00:00
2026-01-23 11:56:04,470 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-22 00:00:00 to 2026-01-23 00:00:00
2026-01-23 11:56:04,470 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-23 00:00:00 to 2026-01-23 11:53:45.447638
2026-01-23 11:57:29,488 | WARNING | metatrader5_fetcher | ⚠ No data for NETH25 from 2026-01-11 00:00:00 to 2026-01-12 00:00:00
2026-01-23 11:57:29,497 | WARNING | metatrader5_fetcher | ⚠ No data for NETH25 from 2026-01-18 00:00:00 to 2026-01-19 00:00:00
2026-01-23 11:59:26,364 | INFO | metatrader5_fetcher | ✔ Enabled symbol: ADAUSD
2026-01-23 11:59:26,364 | WARNING | metatrader5_fetcher | ⚠ Symbol not found: AVAUSD
2026-01-23 11:59:26,364 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BCHUSD
2026-01-23 11:59:26,364 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BNBUSD
2026-01-23 11:59:26,364 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BTCUSD
2026-01-23 11:59:26,364 | INFO | metatrader5_fetcher | ✔ Enabled symbol: DOGEUSD
2026-01-23 11:59:26,364 | INFO | metatrader5_fetcher | ✔ Enabled symbol: DOTUSD
2026-01-23 11:59:26,364 | INFO | metatrader5_fetcher | ✔ Enabled symbol: EOSUSD
2026-01-23 11:59:26,364 | INFO | metatrader5_fetcher | ✔ Enabled symbol: ETHUSD
2026-01-23 11:59:26,364 | INFO | metatrader5_fetcher | ✔ Enabled symbol: LNKUSD
2026-01-23 11:59:26,364 | INFO | metatrader5_fetcher | ✔ Enabled symbol: LTCUSD
2026-01-23 11:59:26,364 | INFO | metatrader5_fetcher | ✔ Enabled symbol: MATICUSD
2026-01-23 11:59:26,364 | INFO | metatrader5_fetcher | ✔ Enabled symbol: NETH25
2026-01-23 11:59:26,364 | INFO | metatrader5_fetcher | ✔ Enabled symbol: SOLUSD
2026-01-23 11:59:26,364 | INFO | metatrader5_fetcher | ✔ Enabled symbol: XLMUSD
2026-01-23 11:59:27,968 | ERROR | metatrader5_fetcher | ❌ Symbol AVAUSD not found on MT5 server
2026-01-23 12:01:13,423 | INFO | metatrader5_fetcher | ✔ Enabled symbol: ADAUSD
2026-01-23 12:01:13,423 | WARNING | metatrader5_fetcher | ⚠ Symbol not found: AVAUSD
2026-01-23 12:01:13,424 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BCHUSD
2026-01-23 12:01:13,424 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BNBUSD
2026-01-23 12:01:13,424 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BTCUSD
2026-01-23 12:01:13,424 | INFO | metatrader5_fetcher | ✔ Enabled symbol: DOGEUSD
2026-01-23 12:01:13,425 | INFO | metatrader5_fetcher | ✔ Enabled symbol: DOTUSD
2026-01-23 12:01:13,425 | INFO | metatrader5_fetcher | ✔ Enabled symbol: EOSUSD
2026-01-23 12:01:13,425 | INFO | metatrader5_fetcher | ✔ Enabled symbol: ETHUSD
2026-01-23 12:01:13,425 | INFO | metatrader5_fetcher | ✔ Enabled symbol: LNKUSD
2026-01-23 12:01:13,425 | INFO | metatrader5_fetcher | ✔ Enabled symbol: LTCUSD
2026-01-23 12:01:13,426 | INFO | metatrader5_fetcher | ✔ Enabled symbol: MATICUSD
2026-01-23 12:01:13,426 | INFO | metatrader5_fetcher | ✔ Enabled symbol: NETH25
2026-01-23 12:01:13,426 | INFO | metatrader5_fetcher | ✔ Enabled symbol: SOLUSD
2026-01-23 12:01:13,427 | INFO | metatrader5_fetcher | ✔ Enabled symbol: XLMUSD
2026-01-23 12:01:33,068 | ERROR | metatrader5_fetcher | ❌ Symbol AVAUSD not found on MT5 server
2026-01-23 12:03:24,295 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-10 00:00:00 to 2026-01-11 00:00:00
2026-01-23 12:03:24,295 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-11 00:00:00 to 2026-01-12 00:00:00
2026-01-23 12:03:24,296 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-12 00:00:00 to 2026-01-13 00:00:00
2026-01-23 12:03:24,296 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-13 00:00:00 to 2026-01-14 00:00:00
2026-01-23 12:03:24,297 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-14 00:00:00 to 2026-01-15 00:00:00
2026-01-23 12:03:24,298 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-15 00:00:00 to 2026-01-16 00:00:00
2026-01-23 12:03:24,298 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-16 00:00:00 to 2026-01-17 00:00:00
2026-01-23 12:03:24,299 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-17 00:00:00 to 2026-01-18 00:00:00
2026-01-23 12:03:24,300 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-18 00:00:00 to 2026-01-19 00:00:00
2026-01-23 12:03:24,301 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-19 00:00:00 to 2026-01-20 00:00:00
2026-01-23 12:03:24,301 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-20 00:00:00 to 2026-01-21 00:00:00
2026-01-23 12:03:24,302 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-21 00:00:00 to 2026-01-22 00:00:00
2026-01-23 12:03:24,302 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-22 00:00:00 to 2026-01-23 00:00:00
2026-01-23 12:03:24,303 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-23 00:00:00 to 2026-01-23 12:01:13.421222
2026-01-23 12:04:53,024 | WARNING | metatrader5_fetcher | ⚠ No data for NETH25 from 2026-01-11 00:00:00 to 2026-01-12 00:00:00
2026-01-23 12:04:53,035 | WARNING | metatrader5_fetcher | ⚠ No data for NETH25 from 2026-01-18 00:00:00 to 2026-01-19 00:00:00
2026-01-23 12:06:39,632 | INFO | metatrader5_fetcher | ✔ Enabled symbol: ADAUSD
2026-01-23 12:06:39,633 | INFO | metatrader5_fetcher | ✔ Enabled symbol: AVAXUSD
2026-01-23 12:06:39,633 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BCHUSD
2026-01-23 12:06:39,633 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BNBUSD
2026-01-23 12:06:39,634 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BTCUSD
2026-01-23 12:06:39,634 | INFO | metatrader5_fetcher | ✔ Enabled symbol: DOGEUSD
2026-01-23 12:06:39,635 | INFO | metatrader5_fetcher | ✔ Enabled symbol: DOTUSD
