2026-03-03 09:43:52,080 | INFO | model_fetcher | The best model: random_forest_clf_20260302_153911
2026-03-03 09:50:57,269 | INFO | model_fetcher | The best model: random_forest_clf_20260302_153911
2026-03-03 09:50:57,310 | INFO | model_fetcher | The best features for random_forest_clf_20260302_153911 are: ["STOCH_K", "DX_14", "MACD_2", "ADOSC", "ROC_14", "STOCHRSI_D", "low", "NATR_14", "AROONOSC", "close", "ADX_14", "MIDPOINT_14", "STOCH_D", "volume", "STOCHRSI_K", "TRANGE", "ROCP_14", "CDLADVANCEBLOCK", "CDLHANGINGMAN", "CDLGRAVESTONEDOJI", "WCLPRICE", "CDLMARUBOZU", "WMA_14", "AVGPRICE", "KAMA_14", "TSF_14", "MFI_14", "CCI_14", "BB_UPPER", "CDLHIGHWAVE", "VAR_14", "PPO_0", "MA_14", "HT_TRENDLINE"]
2026-03-03 09:59:10,926 | INFO | model_fetcher | The best model: random_forest_clf_20260302_153911
2026-03-03 09:59:10,934 | INFO | model_fetcher | The best features for random_forest_clf_20260302_153911 are: ["STOCH_K", "DX_14", "MACD_2", "ADOSC", "ROC_14", "STOCHRSI_D", "low", "NATR_14", "AROONOSC", "close", "ADX_14", "MIDPOINT_14", "STOCH_D", "volume", "STOCHRSI_K", "TRANGE", "ROCP_14", "CDLADVANCEBLOCK", "CDLHANGINGMAN", "CDLGRAVESTONEDOJI", "WCLPRICE", "CDLMARUBOZU", "WMA_14", "AVGPRICE", "KAMA_14", "TSF_14", "MFI_14", "CCI_14", "BB_UPPER", "CDLHIGHWAVE", "VAR_14", "PPO_0", "MA_14", "HT_TRENDLINE"]
2026-03-03 09:59:10,936 | ERROR | model_fetcher | Model file not found at: D:\trading\saved_models\random_forest_clf_20260302_153911.pkl
2026-03-03 10:06:19,785 | INFO | model_fetcher | The best model: random_forest_clf_20260302_153911
2026-03-03 10:06:19,796 | INFO | model_fetcher | The best features for random_forest_clf_20260302_153911 are: ["STOCH_K", "DX_14", "MACD_2", "ADOSC", "ROC_14", "STOCHRSI_D", "low", "NATR_14", "AROONOSC", "close", "ADX_14", "MIDPOINT_14", "STOCH_D", "volume", "STOCHRSI_K", "TRANGE", "ROCP_14", "CDLADVANCEBLOCK", "CDLHANGINGMAN", "CDLGRAVESTONEDOJI", "WCLPRICE", "CDLMARUBOZU", "WMA_14", "AVGPRICE", "KAMA_14", "TSF_14", "MFI_14", "CCI_14", "BB_UPPER", "CDLHIGHWAVE", "VAR_14", "PPO_0", "MA_14", "HT_TRENDLINE"]
2026-03-03 10:06:19,798 | ERROR | model_fetcher | Model file not found at: D:\trading\saved_models\random_forest_classifier_20260302_153911.pkl
2026-03-03 10:11:15,748 | INFO | model_fetcher | The best model: random_forest_clf_20260302_153911
2026-03-03 10:11:15,756 | INFO | model_fetcher | The best features for random_forest_clf_20260302_153911 are: ["STOCH_K", "DX_14", "MACD_2", "ADOSC", "ROC_14", "STOCHRSI_D", "low", "NATR_14", "AROONOSC", "close", "ADX_14", "MIDPOINT_14", "STOCH_D", "volume", "STOCHRSI_K", "TRANGE", "ROCP_14", "CDLADVANCEBLOCK", "CDLHANGINGMAN", "CDLGRAVESTONEDOJI", "WCLPRICE", "CDLMARUBOZU", "WMA_14", "AVGPRICE", "KAMA_14", "TSF_14", "MFI_14", "CCI_14", "BB_UPPER", "CDLHIGHWAVE", "VAR_14", "PPO_0", "MA_14", "HT_TRENDLINE"]
