2026-02-18 18:03:52,351 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-18 18:03:56,432 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-19 10:07:36,497 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-19 10:07:39,882 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-19 10:10:18,728 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-19 10:10:21,276 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-19 10:10:52,003 | INFO | model_trainer | Saved model random_forest_classifier for eth at saved_models\eth_random_forest_classifier.pkl
2026-02-19 10:10:55,205 | INFO | model_trainer | Saved model xgboost_classifier for eth at saved_models\eth_xgboost_classifier.pkl
2026-02-19 11:12:09,011 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-19 11:12:12,744 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-19 11:19:28,381 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-19 11:19:34,403 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-19 11:22:19,563 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-19 11:22:22,354 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-19 11:33:46,663 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-19 11:33:53,585 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-19 11:36:42,864 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-19 11:36:46,618 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-19 11:42:16,381 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-19 11:42:22,331 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-19 11:45:12,971 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-19 11:45:16,623 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-19 12:02:14,770 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
