2026-03-10 12:55:31,060 | INFO | nbeats | N-BEATS: PyTorch using 8 CPU threads.
2026-03-10 12:55:31,156 | INFO | nbeats | N-BEATS rolling window: using last 4320 of 21887 training rows (dropped 17567 older rows).
2026-03-10 14:59:11,478 | INFO | nbeats | N-BEATS: PyTorch using 8 CPU threads.
2026-03-10 14:59:11,626 | INFO | nbeats | N-BEATS rolling window: using last 4320 of 21887 training rows (dropped 17567 older rows).
2026-03-10 15:56:07,672 | INFO | nbeats | N-BEATS: PyTorch using 8 CPU threads.
2026-03-10 15:56:07,811 | INFO | nbeats | N-BEATS rolling window: using last 4320 of 21887 training rows (dropped 17567 older rows).
2026-03-12 10:06:01,066 | INFO | nbeats | N-BEATS: PyTorch using 8 CPU threads.
2026-03-12 10:06:01,158 | INFO | nbeats | N-BEATS rolling window: using last 4320 of 21887 training rows (dropped 17567 older rows).
2026-03-12 10:30:13,116 | INFO | nbeats | N-BEATS: PyTorch using 8 CPU threads.
2026-03-12 10:30:13,196 | INFO | nbeats | N-BEATS rolling window: using last 4320 of 21887 training rows (dropped 17567 older rows).
2026-03-12 10:49:11,517 | INFO | nbeats | N-BEATS: PyTorch using 8 CPU threads.
2026-03-12 10:49:11,897 | INFO | nbeats | N-BEATS rolling window: using last 4320 of 21887 training rows (dropped 17567 older rows).
2026-03-12 11:12:03,066 | INFO | nbeats | N-BEATS: PyTorch using 8 CPU threads.
2026-03-12 11:12:03,174 | INFO | nbeats | N-BEATS rolling window: using last 4320 of 21887 training rows (dropped 17567 older rows).
2026-03-25 13:07:07,617 | INFO | nbeats | N-BEATS: PyTorch using 8 CPU threads.
2026-03-25 13:07:07,695 | INFO | nbeats | N-BEATS rolling window: using last 4320 of 21945 training rows (dropped 17625 older rows).
2026-03-25 14:27:12,963 | INFO | nbeats | N-BEATS: PyTorch using 8 CPU threads.
2026-03-25 14:27:13,031 | INFO | nbeats | N-BEATS rolling window: using last 4320 of 21945 training rows (dropped 17625 older rows).
2026-03-25 14:46:41,128 | INFO | nbeats | N-BEATS signal_threshold set to 3.00e-04
2026-03-25 16:54:46,978 | INFO | nbeats | N-BEATS: PyTorch using 8 CPU threads.
2026-03-25 16:54:53,434 | INFO | nbeats | N-BEATS rolling window: using last 4320 of 21945 training rows (dropped 17625 older rows).
2026-03-25 16:57:13,022 | INFO | nbeats | N-BEATS signal_threshold set to 3.00e-04
2026-03-26 10:59:50,679 | INFO | nbeats | N-BEATS: PyTorch using 4 CPU threads.
2026-03-26 10:59:50,681 | INFO | nbeats | N-BEATS: high_performance=True — using full 4-core resources.
2026-03-26 10:59:58,923 | INFO | nbeats | N-BEATS rolling window: using last 4320 of 21945 training rows (dropped 17625 older rows).
2026-03-26 11:01:54,458 | INFO | nbeats | N-BEATS signal_threshold set to 3.00e-04
2026-03-26 11:49:58,960 | INFO | nbeats | N-BEATS: PyTorch using 4 CPU threads.
2026-03-26 11:49:58,960 | INFO | nbeats | N-BEATS: high_performance=True — using full 4-core resources.
2026-03-26 11:50:04,359 | INFO | nbeats | N-BEATS rolling window: using last 4320 of 21945 training rows (dropped 17625 older rows).
2026-03-26 11:51:14,500 | INFO | nbeats | N-BEATS signal_threshold set to 3.00e-04
