2026-03-13 13:45:58,679 | INFO | randomforest_regressor | [train] DataFrame shape before transform: (27317, 145)
2026-03-13 13:48:57,162 | INFO | randomforest_regressor | [train] DataFrame shape after log-diff transform & dropna: (27330, 145)
2026-03-13 13:48:57,195 | INFO | randomforest_regressor | [train] Train rows: 21799 | Test rows: 5531 | Features: 143
2026-03-13 13:48:57,197 | INFO | randomforest_regressor | [train] NaNs in X_train: 0 | X_test: 0
2026-03-13 13:48:57,197 | INFO | randomforest_regressor | [train] NaNs in y_train: 0 | y_test: 0
2026-03-13 13:48:57,197 | INFO | randomforest_regressor | [train] Starting Optuna study (10 trials)...
2026-03-13 13:48:57,212 | INFO | randomforest_regressor | [trial 0] Params: {'n_estimators': 176, 'max_depth': 11, 'min_samples_split': 19, 'min_samples_leaf': 16, 'max_features': 'sqrt', 'bootstrap': True}
2026-03-13 13:48:57,215 | INFO | randomforest_regressor | [trial 0] Fitting model on 21799 rows...
2026-03-13 13:49:14,142 | INFO | randomforest_regressor | [trial 0] Fit done. Running backtest chunks...
2026-03-13 13:49:16,602 | INFO | randomforest_regressor | [trial 0] Chunk 1/5 PnL: 78.5100
2026-03-13 13:49:19,260 | INFO | randomforest_regressor | [trial 0] Chunk 2/5 PnL: 23.5300
2026-03-13 13:49:21,810 | INFO | randomforest_regressor | [trial 0] Chunk 3/5 PnL: 153.2700
2026-03-13 13:49:24,392 | INFO | randomforest_regressor | [trial 0] Chunk 4/5 PnL: 174.1700
2026-03-13 13:49:26,810 | INFO | randomforest_regressor | [trial 0] Chunk 5/5 PnL: 210.0200
2026-03-13 13:49:26,963 | INFO | randomforest_regressor | [trial 1] Params: {'n_estimators': 375, 'max_depth': 9, 'min_samples_split': 11, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'bootstrap': False}
2026-03-13 13:49:26,963 | INFO | randomforest_regressor | [trial 1] Fitting model on 21799 rows...
2026-03-13 13:50:21,273 | INFO | randomforest_regressor | [trial 1] Fit done. Running backtest chunks...
2026-03-13 13:50:23,559 | INFO | randomforest_regressor | [trial 1] Chunk 1/5 PnL: 82.2600
2026-03-13 13:50:25,712 | INFO | randomforest_regressor | [trial 1] Chunk 2/5 PnL: 21.2400
2026-03-13 13:50:28,174 | INFO | randomforest_regressor | [trial 1] Chunk 3/5 PnL: 144.2600
2026-03-13 13:50:30,771 | INFO | randomforest_regressor | [trial 1] Chunk 4/5 PnL: 167.8400
2026-03-13 13:50:34,149 | INFO | randomforest_regressor | [trial 1] Chunk 5/5 PnL: 194.7600
2026-03-13 13:50:34,343 | INFO | randomforest_regressor | [trial 2] Params: {'n_estimators': 705, 'max_depth': 11, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True}
2026-03-13 13:50:34,345 | INFO | randomforest_regressor | [trial 2] Fitting model on 21799 rows...
2026-03-13 13:51:53,471 | INFO | randomforest_regressor | [trial 2] Fit done. Running backtest chunks...
2026-03-13 13:51:55,529 | INFO | randomforest_regressor | [trial 2] Chunk 1/5 PnL: 78.3400
2026-03-13 13:51:57,992 | INFO | randomforest_regressor | [trial 2] Chunk 2/5 PnL: 20.6600
2026-03-13 13:52:00,690 | INFO | randomforest_regressor | [trial 2] Chunk 3/5 PnL: 139.3400
2026-03-13 13:52:03,066 | INFO | randomforest_regressor | [trial 2] Chunk 4/5 PnL: 170.8500
2026-03-13 13:52:05,669 | INFO | randomforest_regressor | [trial 2] Chunk 5/5 PnL: 201.8000
2026-03-13 13:52:05,849 | INFO | randomforest_regressor | [trial 3] Params: {'n_estimators': 110, 'max_depth': 9, 'min_samples_split': 15, 'min_samples_leaf': 11, 'max_features': 'log2', 'bootstrap': False}
2026-03-13 13:52:05,849 | INFO | randomforest_regressor | [trial 3] Fitting model on 21799 rows...
2026-03-13 13:52:16,255 | INFO | randomforest_regressor | [trial 3] Fit done. Running backtest chunks...
