2026-02-04 17:52:41,042 | WARNING | signals_combiner | No signal function found for BETA
2026-02-04 17:52:41,049 | WARNING | signals_combiner | No signal function found for MAX
2026-02-04 17:52:41,050 | WARNING | signals_combiner | No signal function found for MAXINDEX
2026-02-04 17:52:41,050 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 17:52:56,361 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 17:52:56,362 | WARNING | signals_combiner | No signal function found for ULTOSC
2026-02-04 17:52:56,363 | WARNING | signals_combiner | Error calling AVGPRICE: avgprice_signal() missing 1 required positional argument: 'close'
2026-02-04 17:52:56,365 | WARNING | signals_combiner | No signal function found for BETA
2026-02-04 17:52:56,380 | WARNING | signals_combiner | No signal function found for ADD
2026-02-04 17:52:56,381 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 17:52:56,381 | WARNING | signals_combiner | No signal function found for MAX
2026-02-04 17:52:56,381 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 17:52:56,381 | WARNING | signals_combiner | No signal function found for MULT
2026-02-04 17:52:56,381 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 17:53:17,964 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 17:53:17,973 | WARNING | signals_combiner | Error calling BOP: bop_signal() missing 2 required positional arguments: 'low' and 'close_'
2026-02-04 17:53:17,980 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 17:53:18,000 | WARNING | signals_combiner | No signal function found for CORREL
2026-02-04 17:53:18,007 | WARNING | signals_combiner | No signal function found for ADD
2026-02-04 17:53:18,008 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 17:53:18,008 | WARNING | signals_combiner | No signal function found for MAX
2026-02-04 17:53:18,008 | WARNING | signals_combiner | No signal function found for SUB
2026-02-04 17:53:18,008 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 17:53:36,189 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 17:53:36,193 | WARNING | signals_combiner | Error calling BOP: bop_signal() missing 2 required positional arguments: 'low' and 'close_'
2026-02-04 17:53:36,195 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 17:53:36,198 | WARNING | signals_combiner | No signal function found for ULTOSC
2026-02-04 17:53:36,223 | WARNING | signals_combiner | No signal function found for CORREL
2026-02-04 17:53:36,230 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 17:53:36,230 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 17:53:36,231 | WARNING | signals_combiner | No signal function found for MULT
2026-02-04 17:53:36,231 | WARNING | signals_combiner | No signal function found for SUB
2026-02-04 17:53:52,191 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 17:53:52,195 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 17:53:52,196 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 17:53:52,240 | WARNING | signals_combiner | No signal function found for BETA
2026-02-04 17:53:52,247 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 17:53:52,247 | WARNING | signals_combiner | No signal function found for MAXINDEX
2026-02-04 17:53:52,247 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 17:53:52,247 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 17:54:07,815 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 17:54:07,818 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 17:54:07,855 | WARNING | signals_combiner | No signal function found for BETA
2026-02-04 17:54:07,855 | WARNING | signals_combiner | No signal function found for CORREL
2026-02-04 17:54:07,860 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 17:54:07,860 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 17:54:07,860 | WARNING | signals_combiner | No signal function found for MULT
2026-02-04 17:54:07,861 | WARNING | signals_combiner | No signal function found for SUB
2026-02-04 17:54:07,861 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 17:54:23,798 | WARNING | signals_combiner | Error calling BOP: bop_signal() missing 2 required positional arguments: 'low' and 'close_'
2026-02-04 17:54:23,812 | WARNING | signals_combiner | No signal function found for CORREL
