2026-01-19 17:27:55,435 | INFO | utils | Database engine created successfully.
2026-01-19 17:27:55,516 | INFO | utils | Schema 'data_binance' is ready.
2026-01-19 17:28:04,853 | INFO | utils | Inserted 19467 rows into 'data_binance.btc_1m'.
2026-01-19 17:28:04,856 | INFO | utils | Hypertable ensured for 'data_binance.btc_1m' on column 'timestamp'.
2026-01-19 17:28:23,510 | INFO | utils | Schema 'data_binance' is ready.
2026-01-19 17:28:29,886 | INFO | utils | Inserted 19468 rows into 'data_binance.eth_1m'.
2026-01-19 17:28:29,894 | INFO | utils | Hypertable ensured for 'data_binance.eth_1m' on column 'timestamp'.
2026-01-19 17:28:48,121 | INFO | utils | Schema 'data_binance' is ready.
2026-01-19 17:28:53,511 | INFO | utils | Inserted 19468 rows into 'data_binance.bnb_1m'.
2026-01-19 17:28:53,523 | INFO | utils | Hypertable ensured for 'data_binance.bnb_1m' on column 'timestamp'.
2026-01-19 17:29:12,153 | INFO | utils | Schema 'data_binance' is ready.
2026-01-19 17:29:18,995 | INFO | utils | Inserted 19468 rows into 'data_binance.ada_1m'.
2026-01-19 17:29:19,004 | INFO | utils | Hypertable ensured for 'data_binance.ada_1m' on column 'timestamp'.
2026-01-19 17:29:37,492 | INFO | utils | Schema 'data_binance' is ready.
2026-01-19 17:29:45,782 | INFO | utils | Inserted 19469 rows into 'data_binance.xrp_1m'.
2026-01-19 17:29:45,794 | INFO | utils | Hypertable ensured for 'data_binance.xrp_1m' on column 'timestamp'.
2026-01-19 17:30:03,933 | INFO | utils | Schema 'data_binance' is ready.
2026-01-19 17:30:11,870 | INFO | utils | Inserted 19469 rows into 'data_binance.doge_1m'.
2026-01-19 17:30:11,879 | INFO | utils | Hypertable ensured for 'data_binance.doge_1m' on column 'timestamp'.
2026-01-19 17:30:29,996 | INFO | utils | Schema 'data_binance' is ready.
2026-01-19 17:30:40,007 | INFO | utils | Inserted 19470 rows into 'data_binance.sol_1m'.
2026-01-19 17:30:40,017 | INFO | utils | Hypertable ensured for 'data_binance.sol_1m' on column 'timestamp'.
2026-01-19 17:30:58,140 | INFO | utils | Schema 'data_binance' is ready.
2026-01-19 17:31:06,496 | INFO | utils | Inserted 19470 rows into 'data_binance.dot_1m'.
2026-01-19 17:31:06,513 | INFO | utils | Hypertable ensured for 'data_binance.dot_1m' on column 'timestamp'.
2026-01-19 17:31:25,054 | INFO | utils | Schema 'data_binance' is ready.
2026-01-19 17:31:34,841 | INFO | utils | Inserted 19471 rows into 'data_binance.link_1m'.
2026-01-19 17:31:34,848 | INFO | utils | Hypertable ensured for 'data_binance.link_1m' on column 'timestamp'.
