datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2024-01-01 00:02:00+00:00,short,buy,42363.5,0.0,999.3,-0.07,-0.07
2024-01-01 01:37:00+00:00,short,sell - stop_loss,42363.5,42724.8,990.08,-0.92,-0.99
2024-01-01 02:01:00+00:00,short,buy,42658.9,0.0,989.38,-0.07,-1.06
2024-01-01 18:08:00+00:00,short,sell - stop_loss,42658.9,43049.0,979.64,-0.98,-2.05
2024-01-01 19:01:00+00:00,short,buy,43192.7,0.0,978.96,-0.07,-2.12
2024-01-01 20:00:00+00:00,short,sell - stop_loss,43192.7,43566.6,969.8,-0.94,-3.05
2024-01-01 21:01:00+00:00,short,buy,43787.5,0.0,969.12,-0.07,-3.12
2024-01-01 23:52:00+00:00,short,sell - stop_loss,43787.5,44199.0,959.33,-1.01,-4.13
2024-01-02 00:01:00+00:00,short,buy,44240.0,0.0,958.66,-0.07,-4.2
2024-01-02 00:13:00+00:00,short,sell - stop_loss,44240.0,44574.8,950.74,-0.83,-5.03
2024-01-02 01:01:00+00:00,short,buy,45160.8,0.0,950.07,-0.07,-5.1
2024-01-02 07:25:00+00:00,short,sell - stop_loss,45160.8,45507.8,942.11,-0.84,-5.94
2024-01-02 08:01:00+00:00,short,buy,45537.8,0.0,941.45,-0.07,-6.01
2024-01-03 11:51:00+00:00,short,sell - take_profit,45537.8,44007.3,972.43,3.29,-2.72
2024-01-03 12:01:00+00:00,short,buy,43584.8,0.0,971.75,-0.07,-2.79
2024-01-03 12:01:00+00:00,short,sell - take_profit,43584.8,41965.0,1007.18,3.65,0.86
2024-01-03 13:01:00+00:00,short,buy,42641.7,0.0,1006.48,-0.07,0.79
2024-01-03 15:54:00+00:00,short,sell - stop_loss,42641.7,42800.4,1002.03,-0.44,0.35
2024-01-03 16:01:00+00:00,short,buy,43002.4,0.0,1001.33,-0.07,0.28
2024-01-03 16:02:00+00:00,short,sell - stop_loss,43002.4,43217.0,995.63,-0.57,-0.29
2024-01-03 17:01:00+00:00,short,buy,43053.1,0.0,994.93,-0.07,-0.36
2024-01-03 18:56:00+00:00,short,sell - take_profit,43053.1,41728.4,1024.85,3.01,2.65
2024-01-03 19:01:00+00:00,short,buy,42350.0,0.0,1024.13,-0.07,2.58
2024-01-03 19:34:00+00:00,short,sell - stop_loss,42350.0,42702.5,1014.89,-0.9,1.67
2024-01-03 20:01:00+00:00,short,buy,42656.6,0.0,1014.18,-0.07,1.6
2024-01-04 02:46:00+00:00,short,sell - stop_loss,42656.6,43002.6,1005.24,-0.88,0.72
2024-01-04 03:01:00+00:00,short,buy,43154.7,0.0,1004.54,-0.07,0.65
2024-01-04 14:51:00+00:00,short,sell - stop_loss,43154.7,43524.0,995.24,-0.93,-0.27
2024-01-04 15:01:00+00:00,short,buy,43795.9,0.0,994.54,-0.07,-0.34
