datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2024-01-01 22:09:00+00:00,long,buy,43619.9,,999.5,-0.05,-0.05
2024-01-01 22:15:00+00:00,long,sell - direction_change,43619.9,43567.6,997.8,-0.17,-0.22
2024-01-01 22:15:00+00:00,short,buy,43567.6,,997.3,-0.05,-0.27
2024-01-01 23:00:00+00:00,short,sell - direction_change,43567.6,43579.6,996.53,-0.08,-0.35
2024-01-01 23:00:00+00:00,long,buy,43579.6,,996.03,-0.05,-0.4
2024-01-02 00:15:00+00:00,long,sell - take_profit,43579.6,44886.988,1025.41,2.95,2.55
2024-01-02 00:30:00+00:00,long,buy,44677.9,,1024.9,-0.05,2.5
2024-01-02 05:45:00+00:00,long,sell - direction_change,44677.9,45281.3,1038.23,1.3,3.8
2024-01-02 05:45:00+00:00,short,buy,45281.3,,1037.71,-0.05,3.75
2024-01-02 06:15:00+00:00,short,sell - direction_change,45281.3,45278.3,1037.26,-0.04,3.71
2024-01-02 06:15:00+00:00,long,buy,45278.3,,1036.74,-0.05,3.66
2024-01-02 06:45:00+00:00,long,sell - direction_change,45278.3,45332.8,1037.47,0.07,3.73
2024-01-02 06:45:00+00:00,short,buy,45332.8,,1036.95,-0.05,3.68
2024-01-02 07:00:00+00:00,short,sell - direction_change,45332.8,45203.1,1039.4,0.24,3.92
2024-01-02 07:00:00+00:00,long,buy,45203.1,,1038.88,-0.05,3.87
2024-01-02 11:00:00+00:00,long,sell - direction_change,45203.1,45658.7,1048.83,0.96,4.82
2024-01-02 11:00:00+00:00,short,buy,45658.7,,1048.31,-0.05,4.77
2024-01-02 13:00:00+00:00,short,sell - direction_change,45658.7,45365.3,1054.52,0.59,5.37
2024-01-02 13:00:00+00:00,long,buy,45365.3,,1053.99,-0.05,5.32
2024-01-02 14:45:00+00:00,long,sell - direction_change,45365.3,45572.1,1058.27,0.41,5.72
2024-01-02 14:45:00+00:00,short,buy,45572.1,,1057.74,-0.05,5.67
2024-01-02 19:00:00+00:00,short,sell - direction_change,45572.1,45202.6,1065.79,0.76,6.43
2024-01-02 19:00:00+00:00,long,buy,45202.6,,1065.26,-0.05,6.38
2024-01-02 19:15:00+00:00,long,sell - direction_change,45202.6,45174.6,1064.06,-0.11,6.27
2024-01-02 19:15:00+00:00,short,buy,45174.6,,1063.53,-0.05,6.22
2024-01-02 20:00:00+00:00,short,sell - direction_change,45174.6,45088.6,1065.03,0.14,6.36
2024-01-02 20:00:00+00:00,long,buy,45088.6,,1064.49,-0.05,6.31
2024-01-02 20:15:00+00:00,long,sell - direction_change,45088.6,45139.4,1065.16,0.06,6.37
2024-01-02 20:15:00+00:00,short,buy,45139.4,,1064.63,-0.05,6.32
2024-01-02 21:45:00+00:00,short,sell - direction_change,45139.4,44988.0,1067.67,0.29,6.61
2024-01-02 21:45:00+00:00,long,buy,44988.0,,1067.13,-0.05,6.56
2024-01-02 22:30:00+00:00,long,sell - direction_change,44988.0,45113.0,1069.56,0.23,6.79
2024-01-02 22:30:00+00:00,short,buy,45113.0,,1069.03,-0.05,6.74
2024-01-02 22:45:00+00:00,short,sell - direction_change,45113.0,44978.9,1071.67,0.25,6.98
2024-01-02 22:45:00+00:00,long,buy,44978.9,,1071.14,-0.05,6.93
2024-01-02 23:30:00+00:00,long,sell - direction_change,44978.9,45014.9,1071.46,0.03,6.97
2024-01-02 23:30:00+00:00,short,buy,45014.9,,1070.92,-0.05,6.92
2024-01-02 23:45:00+00:00,short,sell - direction_change,45014.9,44876.9,1073.67,0.26,7.17
2024-01-02 23:45:00+00:00,long,buy,44876.9,,1073.13,-0.05,7.12
2024-01-03 00:15:00+00:00,long,sell - direction_change,44876.9,45052.8,1076.8,0.34,7.46
2024-01-03 00:15:00+00:00,short,buy,45052.8,,1076.26,-0.05,7.41
2024-01-03 00:30:00+00:00,short,sell - direction_change,45052.8,44944.8,1078.31,0.19,7.6
2024-01-03 00:30:00+00:00,long,buy,44944.8,,1077.77,-0.05,7.55
2024-01-03 04:15:00+00:00,long,sell - direction_change,44944.8,45269.8,1085.02,0.67,8.23
2024-01-03 04:15:00+00:00,short,buy,45269.8,,1084.48,-0.05,8.18
2024-01-03 05:00:00+00:00,short,sell - direction_change,45269.8,45226.4,1084.98,0.05,8.22
2024-01-03 05:00:00+00:00,long,buy,45226.4,,1084.43,-0.05,8.17
2024-01-03 05:30:00+00:00,long,sell - direction_change,45226.4,45332.9,1086.45,0.19,8.36
2024-01-03 05:30:00+00:00,short,buy,45332.9,,1085.9,-0.05,8.31
2024-01-03 06:15:00+00:00,short,sell - direction_change,45332.9,45243.9,1087.49,0.15,8.45
