datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2022-12-31 19:00:00+00:00,short,buy,16571.8,,999.5,-0.05,-0.05
2023-01-01 09:00:00+00:00,short,sell - direction_change,16571.8,16504.3,1003.07,0.36,0.31
2023-01-01 09:00:00+00:00,long,buy,16504.3,,1002.57,-0.05,0.26
2023-01-01 11:00:00+00:00,long,sell - direction_change,16504.3,16542.9,1004.41,0.18,0.44
2023-01-01 11:00:00+00:00,short,buy,16542.9,,1003.91,-0.05,0.39
2023-01-01 12:00:00+00:00,short,sell - direction_change,16542.9,16549.8,1002.99,-0.09,0.3
2023-01-01 12:00:00+00:00,long,buy,16549.8,,1002.49,-0.05,0.25
2023-01-01 17:00:00+00:00,long,sell - direction_change,16549.8,16556.1,1002.37,-0.01,0.24
2023-01-01 17:00:00+00:00,short,buy,16556.1,,1001.87,-0.05,0.19
2023-01-01 21:00:00+00:00,short,sell - direction_change,16556.1,16593.7,999.09,-0.28,-0.09
2023-01-01 21:00:00+00:00,long,buy,16593.7,,998.59,-0.05,-0.14
2023-01-01 22:00:00+00:00,long,sell - direction_change,16593.7,16597.6,998.33,-0.03,-0.17
2023-01-01 22:00:00+00:00,short,buy,16597.6,,997.83,-0.05,-0.22
2023-01-01 23:00:00+00:00,short,sell - direction_change,16597.6,16594.4,997.52,-0.03,-0.25
2023-01-01 23:00:00+00:00,long,buy,16594.4,,997.02,-0.05,-0.3
2023-01-02 00:00:00+00:00,long,sell - direction_change,16594.4,16610.4,997.49,0.05,-0.25
2023-01-02 00:00:00+00:00,short,buy,16610.4,,996.99,-0.05,-0.3
2023-01-02 03:00:00+00:00,short,sell - direction_change,16610.4,16580.4,998.29,0.13,-0.17
2023-01-02 03:00:00+00:00,long,buy,16580.4,,997.79,-0.05,-0.22
2023-01-02 04:00:00+00:00,long,sell - direction_change,16580.4,16654.7,1001.76,0.4,0.18
2023-01-02 04:00:00+00:00,short,buy,16654.7,,1001.26,-0.05,0.13
2023-01-02 05:00:00+00:00,short,sell - direction_change,16654.7,16631.8,1002.14,0.09,0.22
2023-01-02 05:00:00+00:00,long,buy,16631.8,,1001.64,-0.05,0.17
2023-01-02 12:00:00+00:00,long,sell - direction_change,16631.8,16728.4,1006.95,0.53,0.7
2023-01-02 12:00:00+00:00,short,buy,16728.4,,1006.45,-0.05,0.65
2023-01-02 14:00:00+00:00,short,sell - direction_change,16728.4,16687.7,1008.4,0.19,0.84
2023-01-02 14:00:00+00:00,long,buy,16687.7,,1007.89,-0.05,0.79
2023-01-02 16:00:00+00:00,long,sell - direction_change,16687.7,16729.2,1009.89,0.2,0.99
2023-01-02 16:00:00+00:00,short,buy,16729.2,,1009.39,-0.05,0.94
2023-01-02 17:00:00+00:00,short,sell - direction_change,16729.2,16704.1,1010.4,0.1,1.04
2023-01-02 17:00:00+00:00,long,buy,16704.1,,1009.89,-0.05,0.99
2023-01-02 22:00:00+00:00,long,sell - direction_change,16704.1,16751.9,1012.28,0.24,1.22
2023-01-02 22:00:00+00:00,short,buy,16751.9,,1011.77,-0.05,1.17
2023-01-03 00:00:00+00:00,short,sell - direction_change,16751.9,16665.9,1016.46,0.46,1.64
2023-01-03 00:00:00+00:00,long,buy,16665.9,,1015.95,-0.05,1.59
2023-01-03 01:00:00+00:00,long,sell - direction_change,16665.9,16689.0,1016.85,0.09,1.68
2023-01-03 01:00:00+00:00,short,buy,16689.0,,1016.34,-0.05,1.63
2023-01-03 03:00:00+00:00,short,sell - direction_change,16689.0,16666.5,1017.21,0.08,1.71
2023-01-03 03:00:00+00:00,long,buy,16666.5,,1016.7,-0.05,1.66
2023-01-03 04:00:00+00:00,long,sell - direction_change,16666.5,16684.4,1017.28,0.06,1.72
2023-01-03 04:00:00+00:00,short,buy,16684.4,,1016.77,-0.05,1.67
2023-01-03 05:00:00+00:00,short,sell - direction_change,16684.4,16677.9,1016.66,-0.01,1.66
2023-01-03 05:00:00+00:00,long,buy,16677.9,,1016.15,-0.05,1.61
2023-01-03 06:00:00+00:00,long,sell - direction_change,16677.9,16720.0,1018.21,0.2,1.81
2023-01-03 06:00:00+00:00,short,buy,16720.0,,1017.7,-0.05,1.76
2023-01-03 07:00:00+00:00,short,sell - direction_change,16720.0,16719.8,1017.2,-0.05,1.71
2023-01-03 07:00:00+00:00,long,buy,16719.8,,1016.69,-0.05,1.66
2023-01-03 12:00:00+00:00,long,sell - direction_change,16719.8,16714.2,1015.85,-0.08,1.58
2023-01-03 12:00:00+00:00,short,buy,16714.2,,1015.34,-0.05,1.53
2023-01-03 13:00:00+00:00,short,sell - direction_change,16714.2,16703.8,1015.46,0.01,1.54
2023-01-03 13:00:00+00:00,long,buy,16703.8,,1014.95,-0.05,1.49
2023-01-03 14:00:00+00:00,long,sell - direction_change,16703.8,16718.2,1015.32,0.04,1.53
2023-01-03 14:00:00+00:00,short,buy,16718.2,,1014.81,-0.05,1.48
2023-01-04 01:00:00+00:00,short,sell - direction_change,16718.2,16655.6,1018.11,0.32,1.8
2023-01-04 01:00:00+00:00,long,buy,16655.6,,1017.6,-0.05,1.75
2023-01-04 19:00:00+00:00,long,sell - direction_change,16655.6,16941.9,1034.58,1.67,3.42
2023-01-04 19:00:00+00:00,short,buy,16941.9,,1034.06,-0.05,3.37
2023-01-04 23:00:00+00:00,short,sell - direction_change,16941.9,16818.7,1041.07,0.68,4.05
2023-01-04 23:00:00+00:00,long,buy,16818.7,,1040.55,-0.05,4.0
2023-01-05 00:00:00+00:00,long,sell - direction_change,16818.7,16842.2,1041.48,0.09,4.09
2023-01-05 00:00:00+00:00,short,buy,16842.2,,1040.96,-0.05,4.04
2023-01-05 11:00:00+00:00,short,sell - direction_change,16842.2,16816.4,1042.03,0.1,4.14
2023-01-05 11:00:00+00:00,long,buy,16816.4,,1041.51,-0.05,4.09
2023-01-05 12:00:00+00:00,long,sell - direction_change,16816.4,16827.0,1041.65,0.01,4.1
2023-01-05 12:00:00+00:00,short,buy,16827.0,,1041.13,-0.05,4.05
2023-01-05 14:00:00+00:00,short,sell - direction_change,16827.0,16771.0,1044.07,0.28,4.34
2023-01-05 14:00:00+00:00,long,buy,16771.0,,1043.55,-0.05,4.29
2023-01-05 17:00:00+00:00,long,sell - direction_change,16771.0,16833.0,1046.88,0.32,4.61
2023-01-05 17:00:00+00:00,short,buy,16833.0,,1046.36,-0.05,4.56
2023-01-05 18:00:00+00:00,short,sell - direction_change,16833.0,16806.8,1047.47,0.11,4.66
2023-01-05 18:00:00+00:00,long,buy,16806.8,,1046.94,-0.05,4.61
2023-01-05 22:00:00+00:00,long,sell - direction_change,16806.8,16840.0,1048.49,0.15,4.76
2023-01-05 22:00:00+00:00,short,buy,16840.0,,1047.96,-0.05,4.71
2023-01-06 00:00:00+00:00,short,sell - direction_change,16840.0,16823.8,1048.45,0.05,4.75
2023-01-06 00:00:00+00:00,long,buy,16823.8,,1047.92,-0.05,4.7
2023-01-06 01:00:00+00:00,long,sell - direction_change,16823.8,16852.1,1049.16,0.12,4.82
2023-01-06 01:00:00+00:00,short,buy,16852.1,,1048.64,-0.05,4.77
2023-01-06 02:00:00+00:00,short,sell - direction_change,16852.1,16818.1,1050.23,0.15,4.92
2023-01-06 02:00:00+00:00,long,buy,16818.1,,1049.7,-0.05,4.87
2023-01-06 03:00:00+00:00,long,sell - direction_change,16818.1,16828.8,1049.85,0.01,4.89
2023-01-06 03:00:00+00:00,short,buy,16828.8,,1049.32,-0.05,4.84
